workerid,intensity,approach,rt,stimulus,trial_index
689,high,distract,1608,iaps/3530h.JPG,116
689,high,distract,1520,iaps/3068h.jpg,119
689,low,reappraise,2037,iaps/2278l.jpg,122
689,high,distract,1308,iaps/9420h.JPG,125
689,high,distract,1421,iaps/6831h.jpg,128
673,high,reappraise,2622,iaps/9410h.JPG,41
673,high,distract,4697,iaps/3000h.JPG,44
673,low,reappraise,2564,iaps/9160l.JPG,47
673,low,reappraise,1761,iaps/6190l.JPG,50
673,high,distract,1874,iaps/6831h.jpg,53
673,high,reappraise,2010,iaps/3230h.JPG,56
673,high,distract,2303,iaps/9420h.JPG,59
673,high,distract,4728,iaps/9181h.jpg,62
673,low,reappraise,2594,iaps/1301l.jpg,65
673,high,distract,6248,iaps/3068h.jpg,68
673,high,reappraise,2779,iaps/3140h.JPG,71
673,low,distract,1827,iaps/2490l.JPG,74
673,high,distract,1776,iaps/2053h.JPG,77
673,high,reappraise,1878,iaps/3261h.jpg,80
673,high,reappraise,2241,iaps/3150h.JPG,83
673,high,reappraise,2331,iaps/2800h.JPG,86
673,low,reappraise,1624,iaps/9120l.JPG,89
